,obj_type,vpid,id,bnf_code,dmd_name,bnf_name,form_route
36,amp,329807003,28985411000001103,1001010P0AAAEAE,Naproxen 500mg tablets (Crescent Pharma Ltd),Naproxen 500mg tablets,tablet.oral
37,amp,329807003,29928911000001107,1001010P0AAAEAE,Naproxen 500mg tablets (Sigma Pharmaceuticals Plc),Naproxen 500mg tablets,tablet.oral
38,amp,329807003,30063011000001101,1001010P0AAAEAE,Naproxen 500mg tablets (DE Pharmaceuticals),Naproxen 500mg tablets,tablet.oral
39,amp,329807003,30849911000001105,1001010P0AAAEAE,Naproxen 500mg tablets (Mawdsley-Brooks & Company Ltd),Naproxen 500mg tablets,tablet.oral
40,amp,329807003,36026111000001106,1001010P0AAAEAE,Naproxen 500mg tablets (Medreich Plc),Naproxen 500mg tablets,tablet.oral
41,amp,329807003,36597611000001107,1001010P0AAAEAE,Naproxen 500mg tablets (Bristol Laboratories Ltd),Naproxen 500mg tablets,tablet.oral
42,amp,329807003,36926211000001106,1001010P0AAAEAE,Naproxen 500mg tablets (Noumed Life Sciences Ltd),Naproxen 500mg tablets,tablet.oral
43,amp,329807003,37999811000001106,1001010P0AAAEAE,Naproxen 500mg tablets (Genesis Pharmaceuticals Ltd),Naproxen 500mg tablets,tablet.oral
62,amp,329839005,27711000001108,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Actavis UK Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
63,amp,329839005,143611000001103,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Teva UK Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
64,amp,329839005,279011000001106,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Sandoz Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
65,amp,329839005,297211000001103,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
66,amp,329839005,368211000001105,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Mylan),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
67,amp,329839005,678411000001107,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
68,amp,329839005,692711000001105,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
69,amp,329839005,936011000001104,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
70,amp,329839005,11426811000001105,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
71,amp,329839005,16213011000001104,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Ranbaxy (UK) Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
72,amp,329839005,17945711000001108,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
73,amp,329839005,20325911000001108,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
74,amp,329839005,21817911000001103,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Waymade Healthcare Plc),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
75,amp,329839005,29928711000001105,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
76,amp,329839005,30062811000001104,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (DE Pharmaceuticals),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
77,amp,329839005,30850111000001100,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
78,amp,329839005,36781911000001106,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Sovereign Medical Ltd),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
79,amp,329839005,37999611000001107,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets (Medreich Plc),Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
102,amp,329807003,162011000001106,1001010P0BCABAE,Naprosyn 500mg tablets (Atnahs Pharma UK Ltd),Naprosyn 500mg tablets,tablet.oral
105,amp,329839005,434011000001107,1001010P0BCAIAI,Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd),Naprosyn EC 500mg tablets,tabletgastro-resistant.oral
106,amp,36030111000001106,61111000001105,1001010P0BCAJAQ,Naprosyn S/R 500mg tablets (Roche Products Ltd),Naprosyn S/R 500mg tablets,tabletmodified-release.oral
108,amp,18245811000001107,18233711000001101,1001010P0BUAABB,Vimovo 500mg/20mg modified-release tablets (AstraZeneca UK Ltd),Vimovo 500mg/20mg modified-release tablets,tabletmodified-release.oral
111,amp,329839005,36737211000001104,1001010P0BYACAI,Nexocin EC 500mg gastro-resistant tablets (Noumed Life Sciences Ltd),Nexocin EC 500mg gastro-resistant tablets,tabletgastro-resistant.oral
113,vmp,329807003,329807003,1001010P0AAAEAE,Naproxen 500mg tablets,Naproxen 500mg tablets,tablet.oral
115,vmp,329839005,329839005,1001010P0AAAIAI,Naproxen 500mg gastro-resistant tablets,Naproxen 500mg gastro-resistant tablets,tabletgastro-resistant.oral
117,vmp,36030111000001106,36030111000001106,1001010P0AAAQAQ,Naproxen 500mg modified-release tablets,Naproxen 500mg modified-release tablets,tabletmodified-release.oral
122,vmp,18245811000001107,18245811000001107,1001010P0AABBBB,Naproxen 500mg / Esomeprazole 20mg modified-release tablets,Naproxen 500mg / Esomeprazole 20mg modified-release tablets,tabletmodified-release.oral
